attack_id,weight_col,transform_name,enabled_for_attack,notes
spectre_v1,w_idx,transform_index_masking_light,1,
spectre_v1,w_nop,transform_nop,1,
spectre_v1,w_lea,transform_lea_split,1,
spectre_v1,w_reorder,transform_reorder_movs,1,
spectre_v1,w_fence_jcc,transform_fence_after_jcc,1,
spectre_v1,w_fence_store,transform_fence_between_store_load,0,
spectre_v1,w_ssb,transform_ssb_dependency_chain_barrier,0,
spectre_v1,w_retpoline,transform_retpoline_rewrite,0,
spectre_v1,w_fence_cut,transform_fence_cut,0,
spectre_v1,w_sand,transform_pointer_sandboxing,0,
spectre_v2,w_idx,transform_index_masking_light,0,
spectre_v2,w_nop,transform_nop,1,
spectre_v2,w_lea,transform_lea_split,0,
spectre_v2,w_reorder,transform_reorder_movs,0,
spectre_v2,w_fence_jcc,transform_fence_after_jcc,1,
spectre_v2,w_fence_store,transform_fence_between_store_load,0,
spectre_v2,w_ssb,transform_ssb_dependency_chain_barrier,0,
spectre_v2,w_retpoline,transform_retpoline_rewrite,1,
spectre_v2,w_fence_cut,transform_fence_cut,0,
spectre_v2,w_sand,tranaform_pointer_sandboxing,0,
spectre_v4,w_idx,transform_index_masking_light,0,
spectre_v4,w_nop,transform_nop,1,
spectre_v4,w_lea,transform_lea_split,1,
spectre_v4,w_reorder,transform_reorder_movs,0,
spectre_v4,w_fence_jcc,transform_fence_after_jcc,0,
spectre_v4,w_fence_store,transform_fence_between_store_load,1,
spectre_v4,w_ssb,transform_ssb_dependency_chain_barrier,1,
spectre_v4,w_retpoline,transform_retpoline_rewrite,0,
spectre_v4,w_fence_cut,transform_fence_cut,0,
spectre_v4,w_sand,tranaform_pointer_sandboxing,0,
meltdown,w_idx,transform_index_masking_light,0,
meltdown,w_nop,transform_nop,1,
meltdown,w_lea,transform_lea_split,1,
meltdown,w_reorder,transform_reorder_movs,0,
meltdown,w_fence_jcc,transform_fence_after_jcc,0,
meltdown,w_fence_store,transform_fence_between_store_load,0,
meltdown,w_ssb,transform_ssb_dependency_chain_barrier,0,
meltdown,w_retpoline,transform_retpoline_rewrite,0,
meltdown,w_fence_cut,transform_fence_cut,1,
meltdown,w_sand,tranaform_pointer_sandboxing,1,
